Name,Address,Description,watchlist_ind,n_dry_saunas,n_steam_rooms,sauna_types,tags,venue_primary_function,cold_immersion_setup,showers_available,url
Botwell Green Sports,"East Avenue, Hayes UB3 2HW","Reliable ""Better"" leisure center. Features a poolside health suite with a traditional dry sauna and steam room.",,1,1,[Finnish],"[Public, Athletic, Wellness]",Gym / Leisure Centre,,TRUE,https://www.better.org.uk/leisure-centre/london/hillingdon/botwell-green
Bowen Bexley,"100 Broadway, Bexleyheath DA6 7DE","Features the ""Husavik Sauna,"" a traditional Norwegian-style unit reaching 80–90°C. Includes a Norwegian Pine cold water bath for contrast therapy.",,1,0,"[Finnish, High-Heat]","[Boutique, High-Heat, Wellness, Contrast-Focus]",Boutique Spa,1 Norwegian Pine cold water bath,TRUE,https://bowenbexley.co.uk/sauna-2/
Britannia Leisure Centre,"Pitfield St, N1 5FT",State-of-the-art Hackney flagship. Features a large dry sauna and a high-humidity steam room within a modern health suite.,,1,1,[Finnish],"[Public, Wellness, Athletic]",Gym / Leisure Centre,,TRUE,https://www.better.org.uk/leisure-centre/london/hackney/britannia-leisure-centre
Brixton Recreation Centre,"27 Brixton Station Rd, SW9 8QQ","Verified 2026: Features a brand-new wellness suite (opened July 2025) including traditional and infrared saunas, a steam room, and an ""Active Spa Garden"".",,2,1,"[Finnish, Infrared]","[Public, Social, Wellness, Boutique]",Gym / Leisure Centre,,TRUE,https://active.lambeth.gov.uk/facilities/wellness-suite/
BXR Lab (Marylebone),"24 Paddington St, W1U 5QY",High-performance hub with advanced Infrared Saunas and 6°C cold plunges. Designed to accelerate recovery and enhance performance.,,1,0,[Infrared],"[Private, Boutique, Recovery-Hub, Contrast-Focus, High-Performance]",Recovery Hub,1 cold plunge pool (6°C),TRUE,https://www.bxrlondon.com/lab
Central Park Leisure,"Gooshays Drive, RM3 9LB",Everyone Active site featuring a reliable health suite with a large sauna and steam room. Noted for its community atmosphere and state-of-the-art gym.,,1,1,[Finnish],"[Public, Wellness, Athletic]",Gym / Leisure Centre,,TRUE,https://www.everyoneactive.com/centre/central-park-leisure-centre/
Charlton Lido,"Shooters Hill Rd, SE18 4LX","Verified 2026: Features a small poolside dry sauna on the sun deck, serving the year-round heated Olympic pool. Note: The health suite downstairs described in some logs is located at Ironmonger Row Baths, not here.",,1,0,[Finnish],"[Public, Outdoor, Social, Wellness]",Gym / Leisure Centre,,TRUE,https://www.better.org.uk/leisure-centre/london/greenwich/charlton-lido
Cheam Leisure Centre,"Malden Rd, Sutton SM3 8EP","Reliable ""Everyone Active"" hub featuring a modern health suite with a sauna and steam room. Requires booking via the app.",,1,1,[Finnish],"[Public, Athletic, Wellness]",Gym / Leisure Centre,,TRUE,https://www.everyoneactive.com/centre/cheam-leisure-centre/
Chelsea FC Health Club & Spa,"Stamford Bridge, SW6 1HS","Premium athletic club featuring a 25m ozone-treated pool. The thermal suite includes a high-heat sauna, steam room, and a dedicated cold plunge.",,1,1,"[Finnish, High-Heat]","[Private, Luxury, Athletic, Contrast-Focus]",Gym / Leisure Centre,1 tiled plunge pool,TRUE,https://www.chelseahealthclub.com/
Clissold Leisure Centre,"63 Clissold Rd, N16 9EX","Reliable ""Better"" health suite in Stoke Newington. Features two saunas, a steam room, and a Jacuzzi for recovery.",,2,1,[Finnish],"[Public, Athletic, Wellness]",Gym / Leisure Centre,,TRUE,https://www.better.org.uk/leisure-centre/london/hackney/clissold-leisure-centre
Cold Hut Recovery,"54 Stanley Rd, BR2 9JH","Located at Aphobos CrossFit. An automated private ""Recovery Hut"" featuring a full-spectrum infrared sauna and a cold plunge tub.",,1,0,[Infrared],"[Private, Athletic, Contrast-Focus]",Recovery Hub,1 Chill Tub ice bath,TRUE,https://www.coldhutrecovery.com/
Community Sauna (Stratford),"Penny Brookes St, E20 1BL",Located in The Lighthouse & Gardens. Features three wood-fired saunas (75–95°C) and three cold plunge pools.,,3,0,[Wood-Fired],"[Social, Public, Outdoor, Traditional, Contrast-Focus]",Social Sauna,3 cold plunge pools,TRUE,https://www.community-sauna.co.uk/stratford-sauna
Community Sauna (Stratford),"Penny Brookes St, E15 1GP",Verified 2026: Flagship community garden site. Offers authentic wood-fired heat with a heavy focus on accessibility and low-cost concessions.,,3,0,[Wood-Fired],"[Social, Public, Outdoor, Traditional, Contrast-Focus]",Social Sauna,3 cold plunge pools,TRUE,https://www.community-sauna.co.uk/stratford-sauna
Community Sauna Baths (Ruskin Park),"Ruskin Park, SE5 8EL",Serene spot tucked in the park featuring unique saunas and plunge pools surrounded by nature.,1,3,0,"[Wood-Fired, Finnish, Aufguss]","[Social, Public, Outdoor, Traditional, Wellness]",Social Sauna,Plunge pools,TRUE,https://www.community-sauna.co.uk/locations/camberwell
Community Sauna Baths (Hackney Wick),"80 Eastway, E9 5JH","The ""Flagship"" site featuring a community bathhouse vibe with a large array of wood-fired saunas and ice plunges.",1,7,0,"[Finnish, Wood-Fired]","[Social, Public, Outdoor, Traditional, High-Heat]",Social Sauna,"Plunge pools, bathtubs, whisky barrels",TRUE,https://www.community-sauna.co.uk/locations/hackneywick
Community Sauna Baths (Walthamstow),"47 Sutherland Rd, E17 6BH","Located on a vacant industrial plot; features large electric saunas, a ""Plunge Island,"" and a social firepit.",1,3,0,"[Finnish, Aufguss, Silent Sauna]","[Social, Public, Outdoor, Wellness, Contrast-Focus]",Social Sauna,4 cold plunge pools,TRUE,https://www.community-sauna.co.uk/walthamstow-sauna
Contrast Anerley,"183A Anerley Rd, SE20 8EF",Private boutique space offering a traditional Finnish sauna paired with cold immersion in a serene environment.,,1,0,[Finnish],"[Private, Boutique, Contrast-Focus, Wellness]",Boutique Spa,1 ice bath,TRUE,https://www.contrastlondon.co.uk/
Covent Garden Health Spa,"29 Endell St, WC2H 9BA","Men-only health spa in the heart of Covent Garden featuring a dry sauna, steam room, and social lounge.",,1,1,[Finnish],"[Private, Social, Wellness]",Boutique Spa,,TRUE,https://www.cghspa.uk/
Crook Log Leisure,"Brampton Rd, Bexleyheath DA7 4HH",Large community hub managed by Places Leisure. Features a health suite with a 15-person sauna and steam room.,,1,1,[Finnish],"[Public, Wellness, Athletic, Community]",Gym / Leisure Centre,Ice fountain,TRUE,https://www.placesleisure.org/centres/crook-log-leisure-centre/
Crowne Plaza Spa,"101-105 Royal Victoria Dock, E16 1AL",Located in the Quad Health Club. Features separate male and female dry saunas and a shared steam room.,,2,1,[Finnish],"[Private, Hotel, Wellness, Luxury]",Hotel Spa,,TRUE,https://www.cpdocklands.co.uk/leisure-club
Crowns Gym,"108 Beckenham Rd, BR3 4RH","Independent high-end combat and fitness club. Features ""Southeast London's largest sauna"" and a dedicated 2-person cold plunge pool.",,1,0,"[Finnish, Wood-Lined]","[Private, Boutique, Combat, Athletic, Contrast-Focus]",Gym / Leisure Centre,1 2-person cold plunge pool,TRUE,https://crownsgym.com/service/sauna-room/
David Lloyd (Finchley),"Leisure Way, N12 0QZ","Premier facility featuring a ""Spa Retreat"" and ""Spa Garden."" Includes high-spec thermal experiences and relaxation zones.",,2,1,"[Himalayan Salt, Finnish]","[Private, Luxury, Wellness, Social]",Gym / Leisure Centre,1 plunge pool,TRUE,https://www.davidlloyd.co.uk/clubs/finchley/club-facilities/spa/
David Lloyd Cheam,"Ewell Rd, Cheam, SM3 8AB","Features the ""Celsius Spa"" with dedicated heat and water facilities designed for muscle recovery and relaxation.",,1,1,[Finnish],"[Private, Luxury, Wellness, Social]",Gym / Leisure Centre,,TRUE,https://www.davidlloyd.co.uk/clubs/cheam/club-facilities/spa/
David Lloyd Enfield,"Carterhatch Ln, EN1 4YJ","2026 Flagship: Home to an extensive ""Spa Retreat"" and ""Spa Garden"" featuring an ice cave and specialized salt heat.",,2,1,"[Himalayan Salt, Finnish]","[Private, Luxury, Wellness, Social]",Gym / Leisure Centre,1 ice cave,TRUE,https://www.davidlloyd.co.uk/clubs/enfield/club-facilities/spa/
David Lloyd Gidea Park,"Squirrels Heath Ln, RM11",Features a luxury spa suite with diverse thermal cabins and dedicated cold immersion for post-training.,,2,1,"[Finnish, Sanarium]","[Private, Luxury, Wellness, Social]",Gym / Leisure Centre,1 plunge pool,TRUE,https://www.davidlloyd.co.uk/clubs/gidea-park/club-facilities/spa/
David Lloyd Kingston,"Rotunda, Clarence St, KT1 1QJ",Centrally located wellness area within the Rotunda. Offers a streamlined health suite focused on core recovery.,,1,1,[Finnish],"[Private, Wellness, Athletic]",Gym / Leisure Centre,,TRUE,https://www.davidlloyd.co.uk/clubs/kingston/club-facilities/spa/
David Lloyd (Northwood),"Duck's Hill Rd, HA6 2DR","Verified 2026: Features an extensive ""Spa Retreat"" and ""Spa Garden"" including an ice cave, hydro pools, and multiple specialized heat rooms.",,3,2,"[Finnish, Himalayan Salt, Crystal Steam, Citrus Steam]","[Private, Luxury, Wellness, Social, Contrast-Focus]",Gym / Leisure Centre,"1 plunge pool, 1 ice cave",TRUE,https://www.davidlloyd.co.uk/clubs/northwood/club-facilities/spa/
David Lloyd Raynes Park,"Bushey Rd, SW20 8TE","Flagship ""Spa Retreat"" featuring a Himalayan salt sauna and bespoke citrus steam rooms. The outdoor ""Spa Garden"" adds a traditional Finnish unit.",,2,2,"[Finnish, Himalayan Salt, Crystal Steam, Citrus Steam]","[Private, Luxury, Wellness, Social, Contrast-Focus]",Gym / Leisure Centre,"1 plunge pool, 1 ice cave",TRUE,https://www.davidlloyd.co.uk/clubs/raynes-park/club-facilities/spa-and-wellbeing/
David Lloyd Sidcup,"Baugh Rd, Sidcup DA14 5ED","Offers a streamlined ""Poolside Spa"" experience focused on core recovery with a traditional sauna, steam room, and whirlpool.",,1,1,[Finnish],"[Private, Wellness, Athletic]",Gym / Leisure Centre,,TRUE,https://www.davidlloyd.co.uk/clubs/sidcup/club-facilities/spa/
Dormers Wells Leisure,"Dormers Wells Lane, UB1 3HX",Verified 2026: Decarbonization project complete. Features a 20m pool and a functional dry sauna within the health suite.,,1,0,[Finnish],"[Public, Athletic, Wellness]",Gym / Leisure Centre,,TRUE,https://www.everyoneactive.com/centre/dormers-wells-leisure-centre/
Downham Health & Leisure,"7-9 Moorside Rd, BR1 5EP","Large ""Health Suite"" featuring a verified dry sauna, steam room, and a hydrotherapy pool. Managed by Better.",,1,1,[Finnish],"[Public, Wellness, Athletic]",Gym / Leisure Centre,,TRUE,https://www.better.org.uk/leisure-centre/london/lewisham/downham-health-and-leisure-centre
e7 Movement,"368 Winchelsea Rd, E7 0AA",Boutique Forest Gate wellness studio featuring a private garden with a wood-fired sauna and a cold plunge pool.,,1,0,[Wood-Fired],"[Boutique, Social, Wellness, Contrast-Focus]",Boutique Spa,1 cold plunge pool,TRUE,https://www.e7movement.com/sauna-1
East Ham Leisure Centre,"324 Barking Road, E6 2RT",Verified 2026: Currently undergoing Phase 2 of a major refurbishment (Gym and changing rooms) due for completion Feb 2026. Health suite includes a sauna and steam room.,,1,1,[Finnish],"[Public, Athletic, Wellness]",Gym / Leisure Centre,,TRUE,https://www.better.org.uk/leisure-centre/london/newham/east-ham-leisure-centre
Eden Fitness,"Cavell House, Stannard Rd, W13","Premier independent Ealing club. Features a luxury spa area with a sauna, saunarium, and steam room.",,2,1,"[Finnish, Saunarium]","[Private, Boutique, Wellness, Luxury]",Gym / Leisure Centre,,TRUE,https://www.edenfitness.co.uk/
Edmonton Leisure Centre,"2 The Broadway, Edmonton N9 0TR","Large ""Better"" site in Enfield. Features a reliable health suite with a high-capacity sauna and steam room.",,1,1,[Finnish],"[Public, Athletic, Wellness]",Gym / Leisure Centre,,TRUE,https://www.better.org.uk/leisure-centre/london/enfield/edmonton-leisure-centre
Eleven Thai Therapy,"311 King St, Hammersmith W6 9NH",Specialist Thai massage centre offering dedicated private sessions for both traditional and infrared saunas.,,2,0,"[Finnish, Infrared]","[Boutique, Wellness, Private]",Boutique Spa,,TRUE,https://thai-london-therapy-hammersmith.mytreatwell.co.uk/
Empire Hair & Beauty,"158 Uxbridge Rd, West Ealing W13 8SB","High-street salon offering ""Steam & Sauna Therapy"" sessions (30-80 mins) as a standalone wellness treatment.",,1,1,[Finnish],"[Boutique, Wellness, Private]",Boutique Spa,,TRUE,https://empire-hair-beauty.mytreatwell.co.uk/
Erith Leisure Centre,"Avenue Rd, Erith DA8 3EE","Verified 2026: Features the ""Expressions"" health suite. While primarily an athletics hub, it maintains a core dry sauna and steam room facility.",,1,1,[Finnish],"[Public, Athletic, Community]",Gym / Leisure Centre,,TRUE,https://www.leisurecentre.com/erith-leisure-centre
ESPA Life at Corinthia,"Whitehall Pl, London SW1A 2BD","Ultra-luxury thermal floor featuring a glass-walled ""Amphitheatre Sauna"" and a black mosaic steam room.",,1,1,"[Finnish, High-Heat]","[Luxury, Boutique, Wellness, Contrast-Focus]",Hotel Spa,1 ice fountain,TRUE,https://www.corinthia.com/en-gb/london/spa-at-corinthia-london/thermal-floor/
Finchley Lido,"Great North Leisure Park, N12 0GL",Historic site (1948 Olympic venue) managed by Better. Features a high-heat dry sauna accessible via the pool area; currently no steam room on-site.,,1,0,[Finnish],"[Public, Athletic, Wellness]",Gym / Leisure Centre,,TRUE,https://www.better.org.uk/leisure-centre/london/barnet/finchley-lido-leisure-centre
Fitness First (Clapham Jct),"Grant Rd, SW11 1SZ",High-traffic station gym featuring a reliable health suite with a high-temperature dry sauna and a separate steam room.,,1,1,[Finnish],"[Private, Gym, Athletic]",Gym / Leisure Centre,,TRUE,https://www.fitnessfirst.co.uk/find-a-gym/clapham-junction-station
Fitness First (Cottons),"47-49 Tooley St, SE1 2QN",Flagship London Bridge location. Features a 20m swimming pool and a refurbished health suite including a wood-lined dry sauna and steam room.,,1,1,[Finnish],"[Private, Gym, Athletic, Wellness]",Gym / Leisure Centre,,TRUE,https://www.fitnessfirst.co.uk/find-a-gym/london-bridge-cottons
Fitness First Hammersmith,"26-28 Hammersmith Grove, W6 7HA","Recently renovated ""sleek"" facility. Includes a poolside health suite with a high-capacity dry sauna and a steam room.",,1,1,[Finnish],"[Private, Gym, Athletic, Wellness]",Gym / Leisure Centre,,TRUE,https://www.fitnessfirst.co.uk/find-a-gym/hammersmith
Fitness4Less Canning Town,"1 Barking Rd, E16 1GA",Verified 2026: Recently refurbished budget-friendly gym. Maintains a high-quality wood-lined dry sauna and a separate steam room.,,1,1,[Finnish],"[Private, Gym, Athletic, Budget]",Gym / Leisure Centre,,TRUE,https://www.fitness4less.co.uk/gym/canning-town/
Flexi Skin & Body,"104 Islington High St, N1 8EG",Boutique wellness clinic specializing in full-spectrum Infrared Saunas for detox and muscle recovery. Features a private room with a Vitamin C shower.,,1,0,[Infrared],"[Boutique, Wellness, Private]",Boutique Spa,,TRUE,https://www.fresha.com/lvp/flexi-skin-and-body-islington-high-street-PVzeeG
Floatworks (Vauxhall),"17b St George Wharf, SW8 2LE","Flagship hub offering a ""Total Reset"" through high-spec Full Spectrum Infrared Saunas and floatation therapy.",,1+,0,[Infrared],"[Boutique, Wellness, Recovery-Hub, Private]",Recovery Hub,,TRUE,https://floatworks.com/locations/vauxhall
Forest Hill Pools,"Dartmouth Rd, SE23 3HZ","Managed by Better (GLL). Features a clean, functional dry sauna located directly within the poolside changing area. Primarily a local community hub.",,1,0,[Finnish],"[Public, Athletic, Wellness]",Gym / Leisure Centre,,TRUE,https://www.better.org.uk/leisure-centre/london/lewisham/forest-hill-pools
Fulham Pools,"Normand Park, Lillie Rd, SW6 7ST","Managed by Virgin Active. Features a 25m pool alongside a health suite containing a sauna, steam room, and hydrotherapy pool.",,1,1,[Finnish],"[Public, Athletic, Wellness]",Gym / Leisure Centre,,TRUE,https://www.virginactive.co.uk/clubs/fulham-pools
Fullwell Cross Spa,"High St, Barkingside, IG6 2EA","A dedicated ""Wellness Spa"" within the leisure centre. Features thermal experiences including a rock sauna and multiple specialized steam rooms.",,1,2,"[Rock, Aromatherapy, Crystal]","[Public, Wellness, Boutique, Social]",Boutique Spa,,TRUE,https://visionrcl.org.uk/centre_activities/fullwell-spa/
Glass Mill Leisure Centre,"41 Loampit Vale, SE13 7FT","High-spec ""Better"" centre. The Health Suite includes a sauna and steam room, plus a dedicated ice room for recovery.",,1,1,[Finnish],"[Public, Athletic, Wellness, Contrast-Focus]",Gym / Leisure Centre,,TRUE,https://www.better.org.uk/leisure-centre/london/lewisham/glass-mill-leisure-centre
Gymbox Ealing,"8 Dickens Yard, Longfield Ave, W5 2TD","""Nightclub-style"" gym located in Dickens Yard. Features high-capacity, high-heat saunas (85°C+) located within the male and female changing areas.",,2,0,"[Finnish, High-Heat]","[Private, Gym, Athletic, High-Heat]",Gym / Leisure Centre,,TRUE,https://gymbox.com/locations/ealing
Hampton Pool,"High St, Hampton, TW12 2ST","Famous heated outdoor lido open 365 days a year. Includes a small, effective dry sauna unit located on the sun deck for post-swim warmth.",,1,0,[Finnish],"[Public, Outdoor, Social, Wellness]",Gym / Leisure Centre,,TRUE,https://www.hamptonpool.co.uk/pool/
Hanworth Air Park,"Uxbridge Rd, Feltham TW13 5EG",Everyone Active site following a 2026 refurb. Features a modern health suite with a mixed-gender sauna and steam room.,,1,1,[Finnish],"[Public, Athletic, Wellness]",Gym / Leisure Centre,,TRUE,https://www.everyoneactive.com/centre/hanworth-air-park-leisure-centre-library/
Harbour Club Chelsea,"Watermeadow Lane, SW6 2RW","Ultra-premium family and athletic club. Features a luxury thermal suite including a sauna, steam room, and a dedicated aromatherapy room.",,1,2,"[Finnish, Aromatherapy Steam, Steam]","[Private, Luxury, Wellness, Social, Athletic]",Gym / Leisure Centre,,TRUE,https://www.harbourclub.com/clubs/chelsea/
Harmony Lounge,"62 Brockley Rise, SE23 1LN",Boutique neighborhood wellness center. Offers private treatment rooms that include a dry sauna for individual or couple sessions.,,1,0,[Finnish],"[Private, Boutique, Wellness]",Boutique Spa,,TRUE,https://www.harmonylounge.co.uk/
Harrow Leisure Centre,"Christchurch Ave, Harrow HA3 5BD","Verified 2026: Flagship ""Everyone Active"" hub. Features an extensive health suite with two saunas and two steam rooms. Strict over-16s policy enforced.",,2,2,[Finnish],"[Public, Flagship, Athletic, Wellness]",Gym / Leisure Centre,,TRUE,https://www.everyoneactive.com/centre/harrow-leisure-centre/
Harrow Lodge Leisure,"Hornchurch Rd, Hornchurch RM11 1JU",Verified 2026: Modern new-build facility. Features a high-spec sauna and steam room. Access requires booking via the app and use of color-coded wristbands.,,1,1,[Finnish],"[Public, New Build, Athletic, Wellness]",Gym / Leisure Centre,,TRUE,https://www.everyoneactive.com/centre/harrow-lodge-leisure-centre/
Health Fusion Clinic,"226 High St, Barnet EN5 5TD",Specialized wellness hub focused on 45-minute Infrared Sauna sessions for detoxification and pain relief.,,1,0,[Infrared],"[Boutique, Recovery, Private, Wellness]",Recovery Hub,,TRUE,https://www.healthfusionclinic.com/infrared-sauna
Hendon Leisure Centre,"Marble Drive, London NW2 1XQ",Verified 2026: Primarily a gymnastics and climbing hub following a major 2025 refurbishment. Maintains a small sauna for athletic recovery.,,1,0,[Finnish],"[Public, Athletic, Recovery]",Gym / Leisure Centre,,TRUE,https://www.better.org.uk/leisure-centre/london/barnet/hendon-leisure-centre
Heston Pools & Fitness,"New Heston Rd, Heston TW5 0LW","Verified 2026: Managed by Lampton Leisure. Features separate, segregated male and female saunas and steam rooms for privacy and comfort.",,2,2,[Finnish],"[Public, Flagship, Athletic, Wellness]",Gym / Leisure Centre,,TRUE,https://www.lamptonleisure.co.uk/our-centres/heston-pools-fitness/
Highbury Leisure Centre,"Highbury Crescent, N5 1RR",Verified 2026: Rebuilt following a major fire; now features a very clean and bright health suite with a large dry sauna and steam room.,,1,1,[Finnish],"[Public, Athletic, Wellness]",Gym / Leisure Centre,,TRUE,https://www.better.org.uk/leisure-centre/london/islington/highbury-leisure-centre
Highgrove Pool & Fitness,"Hume Way, Ruislip HA4",Verified 2026: Recently installed brand new sauna and steam cabins situated directly in the Main Pool Hall for convenient access after swimming.,,1,1,[Finnish],"[Public, Athletic, Wellness]",Gym / Leisure Centre,,TRUE,https://www.better.org.uk/leisure-centre/london/hillingdon/highgrove-leisure-centre
Hillingdon Sports Complex,"Gatting Way, Uxbridge UB8",Verified 2026: Features a refurbished health suite with a traditional sauna and steam room. Often requires separate booking from general swim sessions.,,1,1,[Finnish],"[Public, Flagship, Athletic, Wellness]",Gym / Leisure Centre,,TRUE,https://www.better.org.uk/leisure-centre/london/hillingdon/hillingdon-sports-lc
Hilton London Syon Park,"Park Rd, Isleworth TW7 6AZ","High-end Kallima Spa (adults-only). Features a luxury 15m pool, sauna, hot tub, and a specialized eucalyptus steam room.",,1,1,[Finnish],"[Private, Hotel, Luxury, Wellness]",Hotel Spa,,TRUE,https://www.hilton.com/en/hotels/lhrsphi-hilton-london-syon-park/spa/
