Venue,Normalized Name,Example Name,Count,Percentage,Category
Arc Community,ground - lymphatic upgrade,Ground - Lymphatic Upgrade,2,1.3,Low Frequency (Special Event)
Arc Community,relax - sleep reset,Relax - Sleep Reset,2,1.3,Low Frequency (Special Event)
Arc Community,"arc x bon charge: light, heat & cold","ARC x BON CHARGE: Light, Heat & Cold",1,0.6,Low Frequency (Special Event)
Arc Community,founder takeover: speciality class,Founder Takeover: Speciality Class,1,0.6,Low Frequency (Special Event)
Arc Community,happiness hack x hair gym,Happiness Hack x Hair Gym,1,0.6,Low Frequency (Special Event)
Arc Community,happiness hack x salad projects,Happiness Hack x Salad Projects,1,0.6,Low Frequency (Special Event)
Arc Community,lymphatic upgrade x iräye,Lymphatic Upgrade x IRÄYE,1,0.6,Low Frequency (Special Event)
Arc Community,stretch & recover x lulule run club,Stretch & Recover x Lululemon Run Club,1,0.6,Low Frequency (Special Event)
Arc Community,sound bath x akt deodorant,Sound Bath x AKT Deodorant,1,0.6,Low Frequency (Special Event)
Community Sauna Camberwell Timetable,camberwell: off-peak 1h sauna,Camberwell: Off-Peak 1h Sauna,9,42.9,Medium Frequency (Recurring Event)
Community Sauna Camberwell Timetable,camberwell: nhs free sauna,Camberwell: NHS Free Sauna,5,23.8,Medium Frequency (Recurring Event)
Community Sauna Camberwell Timetable,camberwell: off-peak 90min sauna,Camberwell: Off-Peak 90min Sauna,3,14.3,Low Frequency (Special Event)
Community Sauna Camberwell Timetable,camberwell: peak 90min sauna,Camberwell: Peak 90min Sauna,2,9.5,Low Frequency (Special Event)
Community Sauna Camberwell Timetable,sauna sound bath: camberwell,Sauna Sound Bath: Camberwell,1,4.8,Low Frequency (Special Event)
Community Sauna Camberwell Timetable,members slot,Members Slot,1,4.8,Low Frequency (Special Event)
Community Sauna Stratford Timetable,stratford: off-peak 1h sauna,Stratford: Off-Peak 1h Sauna,6,40.0,Medium Frequency (Recurring Event)
Community Sauna Stratford Timetable,stratford nhs free sauna,Stratford NHS Free Sauna,4,26.7,Low Frequency (Special Event)
Community Sauna Stratford Timetable,stratford: off-peak 90min sauna,Stratford: Off-Peak 90min Sauna,2,13.3,Low Frequency (Special Event)
Community Sauna Stratford Timetable,stratford: peak 90min sauna,Stratford: Peak 90min Sauna,2,13.3,Low Frequency (Special Event)
Community Sauna Stratford Timetable,stratford: peak 1h sauna,Stratford: Peak 1h Sauna,1,6.7,Low Frequency (Special Event)
Community Sauna Walthamstow Timetable,women's: nhs free sauna,Women's: NHS Free Sauna,3,17.6,Low Frequency (Special Event)
Community Sauna Walthamstow Timetable,women's: off-peak 1h sauna,Women's: Off-Peak 1h Sauna,3,17.6,Low Frequency (Special Event)
Community Sauna Walthamstow Timetable,walthamstow: off-peak 90min sauna,Walthamstow: Off-Peak 90min Sauna,3,17.6,Low Frequency (Special Event)
Community Sauna Walthamstow Timetable,walthamstow: nhs free sauna,Walthamstow: NHS Free Sauna,2,11.8,Low Frequency (Special Event)
Community Sauna Walthamstow Timetable,walthamstow: off-peak 1h sauna,Walthamstow: Off-Peak 1h Sauna,2,11.8,Low Frequency (Special Event)
Community Sauna Walthamstow Timetable,walthamstow: peak 90min sauna,Walthamstow: Peak 90min Sauna,2,11.8,Low Frequency (Special Event)
Community Sauna Walthamstow Timetable,members slot,Members Slot,2,11.8,Low Frequency (Special Event)
Rebase Recovery,member_s_suite,member_s_suite,196,55.2,High Frequency (Standard Session)
Rebase Recovery,contrast_immersion,contrast_immersion,55,15.5,High Frequency (Standard Session)
Rebase Recovery,urban_oasis,urban_oasis,41,11.5,High Frequency (Standard Session)
Rebase Recovery,prana_flow,prana_flow,24,6.8,High Frequency (Standard Session)
Rebase Recovery,ladies_only_member_s_suite,ladies_only_member_s_suite,14,3.9,Medium Frequency (Recurring Event)
Rebase Recovery,mat_pilates,mat_pilates,12,3.4,Medium Frequency (Recurring Event)
Rebase Recovery,dynamic_flow,dynamic_flow,10,2.8,Medium Frequency (Recurring Event)
Rebase Recovery,morning_fix,morning_fix,3,0.8,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Tue 27th Jan, 26",walthamstow: nhs free sauna,Walthamstow: NHS Free Sauna,5,29.4,Medium Frequency (Recurring Event)
"Community Sauna Walthamstow Timetable - Tue 27th Jan, 26",walthamstow: off-peak 1h sauna,Walthamstow: Off-Peak 1h Sauna,5,29.4,Medium Frequency (Recurring Event)
"Community Sauna Walthamstow Timetable - Tue 27th Jan, 26",walthamstow: off-peak 90min sauna,Walthamstow: Off-Peak 90min Sauna,3,17.6,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Tue 27th Jan, 26",walthamstow: peak 90min sauna,Walthamstow: Peak 90min Sauna,2,11.8,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Tue 27th Jan, 26",members slot,Members Slot,2,11.8,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Tue 27th Jan, 26",camberwell: peak 90min sauna,Camberwell: Peak 90min Sauna,2,50.0,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Tue 27th Jan, 26",members slot,Members Slot,2,50.0,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Tue 27th Jan, 26",stratford: peak 90min sauna,Stratford: Peak 90min Sauna,2,100.0,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Wed 28th Jan, 26",camberwell: off-peak 1h sauna,Camberwell: Off-Peak 1h Sauna,9,42.9,Medium Frequency (Recurring Event)
"Community Sauna Camberwell Timetable - Wed 28th Jan, 26",camberwell: nhs free sauna,Camberwell: NHS Free Sauna,5,23.8,Medium Frequency (Recurring Event)
"Community Sauna Camberwell Timetable - Wed 28th Jan, 26",camberwell: off-peak 90min sauna,Camberwell: Off-Peak 90min Sauna,2,9.5,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Wed 28th Jan, 26",members slot,Members Slot,2,9.5,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Wed 28th Jan, 26",camberwell: peak 90min sauna,Camberwell: Peak 90min Sauna,2,9.5,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Wed 28th Jan, 26",women's over 50s site take over,Women's Over 50s Site Take over,1,4.8,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Wed 28th Jan, 26",stratford: off-peak 1h sauna,Stratford: Off-Peak 1h Sauna,3,21.4,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Wed 28th Jan, 26",stratford nhs free sauna,Stratford NHS Free Sauna,2,14.3,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Wed 28th Jan, 26",women's off-peak 1h sauna,Women's Off-Peak 1h Sauna,2,14.3,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Wed 28th Jan, 26",women's nhs free sauna,Women's NHS Free Sauna,2,14.3,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Wed 28th Jan, 26",stratford: peak 90min sauna,Stratford: Peak 90min Sauna,2,14.3,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Wed 28th Jan, 26",women's: off-peak 90min sauna,Women's: Off-peak 90min Sauna,1,7.1,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Wed 28th Jan, 26",stratford: off-peak 90min sauna,Stratford: Off-Peak 90min Sauna,1,7.1,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Wed 28th Jan, 26",stratford: peak 1h sauna,Stratford: Peak 1h Sauna,1,7.1,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Wed 28th Jan, 26",flinta sauna,FLINTA Sauna,2,100.0,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Thu 29th Jan, 26",women's off-peak 1h sauna,Women's Off-Peak 1h Sauna,3,15.8,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Thu 29th Jan, 26",women's nhs free sauna,Women's NHS Free Sauna,3,15.8,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Thu 29th Jan, 26",camberwell: off-peak 1h sauna,Camberwell: Off-Peak 1h Sauna,2,10.5,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Thu 29th Jan, 26",camberwell: nhs free sauna,Camberwell: NHS Free Sauna,2,10.5,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Thu 29th Jan, 26",camberwell: off-peak 90min sauna,Camberwell: Off-Peak 90min Sauna,2,10.5,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Thu 29th Jan, 26",members slot,Members Slot,2,10.5,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Thu 29th Jan, 26",camberwell: peak 90min sauna,Camberwell: Peak 90min Sauna,2,10.5,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Thu 29th Jan, 26",women's off-peak 90min sauna,Women's Off-Peak 90min Sauna,1,5.3,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Thu 29th Jan, 26",mothers recharge,Mothers Recharge,1,5.3,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Thu 29th Jan, 26",reset ritual,Reset Ritual,1,5.3,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Thu 29th Jan, 26",stratford: off-peak 1h sauna,Stratford: Off-Peak 1h Sauna,6,40.0,Medium Frequency (Recurring Event)
"Community Sauna Stratford Timetable - Thu 29th Jan, 26",stratford nhs free sauna,Stratford NHS Free Sauna,4,26.7,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Thu 29th Jan, 26",stratford: off-peak 90min sauna,Stratford: Off-Peak 90min Sauna,2,13.3,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Thu 29th Jan, 26",stratford: peak 90min sauna,Stratford: Peak 90min Sauna,2,13.3,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Thu 29th Jan, 26",flinta: site take over,FLINTA: Site Take Over,1,6.7,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Thu 29th Jan, 26",walthamstow: nhs free sauna,Walthamstow: NHS Free Sauna,5,29.4,Medium Frequency (Recurring Event)
"Community Sauna Walthamstow Timetable - Thu 29th Jan, 26",walthamstow: off-peak 1h sauna,Walthamstow: Off-Peak 1h Sauna,5,29.4,Medium Frequency (Recurring Event)
"Community Sauna Walthamstow Timetable - Thu 29th Jan, 26",walthamstow: off-peak 90min sauna,Walthamstow: Off-Peak 90min Sauna,3,17.6,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Thu 29th Jan, 26",walthamstow: peak 90min sauna,Walthamstow: Peak 90min Sauna,2,11.8,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Thu 29th Jan, 26",members slot,Members Slot,2,11.8,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Fri 30th Jan, 26",camberwell: off-peak 1h sauna,Camberwell: Off-Peak 1h Sauna,9,42.9,Medium Frequency (Recurring Event)
"Community Sauna Camberwell Timetable - Fri 30th Jan, 26",camberwell: nhs free sauna,Camberwell: NHS Free Sauna,5,23.8,Medium Frequency (Recurring Event)
"Community Sauna Camberwell Timetable - Fri 30th Jan, 26",camberwell: off-peak 90min sauna,Camberwell: Off-Peak 90min Sauna,3,14.3,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Fri 30th Jan, 26",members slot,Members Slot,2,9.5,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Fri 30th Jan, 26",camberwell: peak 90min sauna,Camberwell: Peak 90min Sauna,2,9.5,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Fri 30th Jan, 26",stratford nhs free sauna,Stratford NHS Free Sauna,4,28.6,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Fri 30th Jan, 26",stratford: off-peak 1h sauna,Stratford: Off-Peak 1h Sauna,4,28.6,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Fri 30th Jan, 26",stratford: off-peak 90min sauna,Stratford: Off-Peak 90min Sauna,2,14.3,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Fri 30th Jan, 26",stratford: peak 90min sauna,Stratford: Peak 90min Sauna,2,14.3,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Fri 30th Jan, 26",sauna for addiction recovery,Sauna for Addiction Recovery,1,7.1,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Fri 30th Jan, 26",stratford: peak 1h sauna,Stratford: Peak 1h Sauna,1,7.1,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Fri 30th Jan, 26",walthamstow: off-peak 1h sauna,Walthamstow: Off-Peak 1h Sauna,9,45.0,Medium Frequency (Recurring Event)
"Community Sauna Walthamstow Timetable - Fri 30th Jan, 26",walthamstow: nhs free sauna,Walthamstow: NHS Free Sauna,5,25.0,Medium Frequency (Recurring Event)
"Community Sauna Walthamstow Timetable - Fri 30th Jan, 26",walthamstow: off-peak 90min sauna,Walthamstow: Off-Peak 90min Sauna,3,15.0,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Fri 30th Jan, 26",sauna live sessions,Sauna Live Sessions,1,5.0,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Fri 30th Jan, 26",walthamstow: peak 90min sauna,Walthamstow: Peak 90min Sauna,1,5.0,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Fri 30th Jan, 26",members slot,Members Slot,1,5.0,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Sat 31st Jan, 26",camberwell: peak 90min sauna,Camberwell: Peak 90min Sauna,7,46.7,Medium Frequency (Recurring Event)
"Community Sauna Camberwell Timetable - Sat 31st Jan, 26",members slot,Members Slot,7,46.7,Medium Frequency (Recurring Event)
"Community Sauna Camberwell Timetable - Sat 31st Jan, 26",camberwell: peak 1h sauna,Camberwell: Peak 1h Sauna,1,6.7,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Sat 31st Jan, 26",walthamstow: peak 90min sauna,Walthamstow: Peak 90min Sauna,7,46.7,Medium Frequency (Recurring Event)
"Community Sauna Walthamstow Timetable - Sat 31st Jan, 26",members slot,Members Slot,7,46.7,Medium Frequency (Recurring Event)
"Community Sauna Walthamstow Timetable - Sat 31st Jan, 26",walthamstow: peak 1h sauna,Walthamstow: Peak 1h Sauna,1,6.7,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Sat 31st Jan, 26",stratford: peak 90min sauna,Stratford: Peak 90min Sauna,6,75.0,Medium Frequency (Recurring Event)
"Community Sauna Stratford Timetable - Sat 31st Jan, 26",stratford: peak 1h sauna,Stratford: Peak 1h Sauna,2,25.0,Low Frequency (Special Event)
WellNest London,"breathwork, saunas & ice baths","Breathwork, Saunas & Ice Baths",26,70.3,High Frequency (Standard Session)
WellNest London,"rewind & revive : breathwork, sauna & ice bath at wellnest london bridge","Rewind & Revive : Breathwork, Sauna & Ice Bath at WellNest London Bridge",9,24.3,Medium Frequency (Recurring Event)
WellNest London,"team stronger- breath, saunas & ice baths","Team Stronger- Breath, Saunas & Ice Baths",1,2.7,Low Frequency (Special Event)
WellNest London,sober sauna sesh,SOBER SAUNA SESH,1,2.7,Low Frequency (Special Event)
Sauna Social Club,creative wellbeing | aufguss,Creative Wellbeing | Aufguss,2,13.3,Low Frequency (Special Event)
Sauna Social Club,ambient sauna | i love to feel (live),Ambient Sauna | I Love to Feel (live),1,6.7,Low Frequency (Special Event)
Sauna Social Club,creative wellbeing | sauna & song | jacob swindells,Creative Wellbeing | Sauna & Song | Jacob Swindells,1,6.7,Low Frequency (Special Event)
Sauna Social Club,creative wellbeing | sound healing & sauna | shivani sen,Creative Wellbeing | Sound Healing & Sauna | Shivani Sen,1,6.7,Low Frequency (Special Event)
Sauna Social Club,ambient sauna | dan nicholls (live),Ambient Sauna | Dan Nicholls (live),1,6.7,Low Frequency (Special Event)
Sauna Social Club,ambient sauna | stella z & will hofbauer,Ambient Sauna | Stella Z & Will Hofbauer,1,6.7,Low Frequency (Special Event)
Sauna Social Club,queer ambient sauna | o•rbyss w/ teleopath & becca raeburn,Queer Ambient Sauna | o•rbyss w/ Teleopath & Becca Raeburn,1,6.7,Low Frequency (Special Event)
Sauna Social Club,ambient sauna | introspective electronics,Ambient Sauna | Introspective Electronics,1,6.7,Low Frequency (Special Event)
Sauna Social Club,ambient sauna | reel long overdub,Ambient Sauna | Reel Long Overdub,1,6.7,Low Frequency (Special Event)
Sauna Social Club,creative wellbeing | sound healing & sauna | joe dalziel ​,Creative Wellbeing | Sound Healing & Sauna | Joe Dalziel ​,1,6.7,Low Frequency (Special Event)
Sauna Social Club,ambient sauna | xixi z & tba,Ambient Sauna | Xixi Z & TBA,1,6.7,Low Frequency (Special Event)
Sauna Social Club,ambient sauna | cozi w/ softi,Ambient Sauna | Cozi w/ Softi,1,6.7,Low Frequency (Special Event)
Sauna Social Club,creative wellbeing | aufguss ​​​,Creative Wellbeing | Aufguss ​​​,1,6.7,Low Frequency (Special Event)
Sauna Social Club,trans+ sauna (book through external link),Trans+ Sauna (book through external link),1,6.7,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Sun 1st Feb, 26",camberwell: peak 90min sauna,Camberwell: Peak 90min Sauna,6,42.9,Medium Frequency (Recurring Event)
"Community Sauna Camberwell Timetable - Sun 1st Feb, 26",members slot,Members Slot,6,42.9,Medium Frequency (Recurring Event)
"Community Sauna Camberwell Timetable - Sun 1st Feb, 26",camberwell: peak 1h sauna,Camberwell: Peak 1h Sauna,1,7.1,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Sun 1st Feb, 26",flinta 90min sauna,FLINTA 90min Sauna,1,7.1,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Sun 1st Feb, 26",walthamstow: peak 90min sauna,Walthamstow: Peak 90min Sauna,7,43.8,Medium Frequency (Recurring Event)
"Community Sauna Walthamstow Timetable - Sun 1st Feb, 26",members slot,Members Slot,7,43.8,Medium Frequency (Recurring Event)
"Community Sauna Walthamstow Timetable - Sun 1st Feb, 26",walthamstow: peak 1h sauna,Walthamstow: Peak 1h Sauna,1,6.2,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Sun 1st Feb, 26",sauna sound bath: walthamstow,Sauna Sound Bath: Walthamstow,1,6.2,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Sun 1st Feb, 26",stratford: peak 90min sauna,Stratford: Peak 90min Sauna,6,75.0,Medium Frequency (Recurring Event)
"Community Sauna Stratford Timetable - Sun 1st Feb, 26",stratford: peak 1h sauna,Stratford: Peak 1h Sauna,2,25.0,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Mon 2nd Feb, 26",camberwell: off-peak 1h sauna,Camberwell: Off-Peak 1h Sauna,9,42.9,Medium Frequency (Recurring Event)
"Community Sauna Camberwell Timetable - Mon 2nd Feb, 26",camberwell: nhs free sauna,Camberwell: NHS Free Sauna,5,23.8,Medium Frequency (Recurring Event)
"Community Sauna Camberwell Timetable - Mon 2nd Feb, 26",camberwell: off-peak 90min sauna,Camberwell: Off-Peak 90min Sauna,3,14.3,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Mon 2nd Feb, 26",members slot,Members Slot,2,9.5,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Mon 2nd Feb, 26",camberwell: peak 90min sauna,Camberwell: Peak 90min Sauna,2,9.5,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Mon 2nd Feb, 26",stratford: off-peak 1h sauna,Stratford: Off-Peak 1h Sauna,6,40.0,Medium Frequency (Recurring Event)
"Community Sauna Stratford Timetable - Mon 2nd Feb, 26",stratford nhs free sauna,Stratford NHS Free Sauna,4,26.7,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Mon 2nd Feb, 26",stratford: off-peak 90min sauna,Stratford: Off-Peak 90min Sauna,2,13.3,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Mon 2nd Feb, 26",stratford: peak 90min sauna,Stratford: Peak 90min Sauna,2,13.3,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Mon 2nd Feb, 26",stratford: peak 1h sauna,Stratford: Peak 1h Sauna,1,6.7,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Mon 2nd Feb, 26",women's: nhs free sauna,Women's: NHS Free Sauna,3,17.6,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Mon 2nd Feb, 26",women's: off-peak 1h sauna,Women's: Off-Peak 1h Sauna,3,17.6,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Mon 2nd Feb, 26",walthamstow: off-peak 90min sauna,Walthamstow: Off-Peak 90min Sauna,3,17.6,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Mon 2nd Feb, 26",walthamstow: nhs free sauna,Walthamstow: NHS Free Sauna,2,11.8,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Mon 2nd Feb, 26",walthamstow: off-peak 1h sauna,Walthamstow: Off-Peak 1h Sauna,2,11.8,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Mon 2nd Feb, 26",walthamstow: peak 90min sauna,Walthamstow: Peak 90min Sauna,2,11.8,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Mon 2nd Feb, 26",members slot,Members Slot,2,11.8,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Tue 3rd Feb, 26",walthamstow: nhs free sauna,Walthamstow: NHS Free Sauna,5,27.8,Medium Frequency (Recurring Event)
"Community Sauna Walthamstow Timetable - Tue 3rd Feb, 26",walthamstow: off-peak 1h sauna,Walthamstow: Off-Peak 1h Sauna,5,27.8,Medium Frequency (Recurring Event)
"Community Sauna Walthamstow Timetable - Tue 3rd Feb, 26",walthamstow: off-peak 90min sauna,Walthamstow: Off-Peak 90min Sauna,3,16.7,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Tue 3rd Feb, 26",members slot,Members Slot,2,11.1,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Tue 3rd Feb, 26",walthamstow: peak 90min sauna,Walthamstow: Peak 90min Sauna,2,11.1,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Tue 3rd Feb, 26",restore & reset: breathwork & sauna,Restore & Reset: Breathwork & Sauna,1,5.6,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Tue 3rd Feb, 26",camberwell: peak 90min sauna,Camberwell: Peak 90min Sauna,1,33.3,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Tue 3rd Feb, 26",members slot,Members Slot,1,33.3,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Tue 3rd Feb, 26",queer heat series: qpoc edition,Queer Heat Series: QPOC Edition,1,33.3,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Tue 3rd Feb, 26",stratford: peak 90min sauna,Stratford: Peak 90min Sauna,2,100.0,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Wed 4th Feb, 26",camberwell: off-peak 1h sauna,Camberwell: Off-Peak 1h Sauna,9,40.9,Medium Frequency (Recurring Event)
"Community Sauna Camberwell Timetable - Wed 4th Feb, 26",camberwell: nhs free sauna,Camberwell: NHS Free Sauna,5,22.7,Medium Frequency (Recurring Event)
"Community Sauna Camberwell Timetable - Wed 4th Feb, 26",camberwell: off-peak 90min sauna,Camberwell: Off-Peak 90min Sauna,3,13.6,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Wed 4th Feb, 26",camberwell: peak 90min sauna,Camberwell: Peak 90min Sauna,2,9.1,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Wed 4th Feb, 26",members slot,Members Slot,2,9.1,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Wed 4th Feb, 26",sauna sound bath: camberwell,Sauna Sound Bath: Camberwell,1,4.5,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Wed 4th Feb, 26",stratford: off-peak 1h sauna,Stratford: Off-Peak 1h Sauna,3,21.4,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Wed 4th Feb, 26",stratford nhs free sauna,Stratford NHS Free Sauna,2,14.3,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Wed 4th Feb, 26",women's off-peak 1h sauna,Women's Off-Peak 1h Sauna,2,14.3,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Wed 4th Feb, 26",women's nhs free sauna,Women's NHS Free Sauna,2,14.3,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Wed 4th Feb, 26",stratford: peak 90min sauna,Stratford: Peak 90min Sauna,2,14.3,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Wed 4th Feb, 26",women's: off-peak 90min sauna,Women's: Off-peak 90min Sauna,1,7.1,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Wed 4th Feb, 26",stratford: off-peak 90min sauna,Stratford: Off-Peak 90min Sauna,1,7.1,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Wed 4th Feb, 26",flinta: site take over,FLINTA: Site Take Over,1,7.1,Low Frequency (Special Event)
